localIBGE_id;municipality;state;population;pop_share_above60;gdp_capita;city_exp_health_capita;public_doctors_capita;disease_deaths_capita;death_rate_hospitalization;infant_mortality;sewage_rating;water_service_rating;garbage_service_rating
5007901;Sidrolandia;MS;56081;0,087133455;29,9054;595,2023858;2,318075641;2,995666982;0,047699727;15,23545706;4;5,871776748;3,853563159
5007935;Sonora;MS;18828;0,046278817;35,26023;888,5139478;2,65561929;2,018270661;0,02005228;9,216589862;;6,557721894;6,30115416
5007950;Tacuru;MS;11427;0,079698975;17,14741;903,5068959;2,625360987;4,988185876;0,030927813;15,2284264;6,871238556;4,493700132;1,85
5007976;Taquarussu;MS;3583;0,13396861;30,61847;2088,502417;5,581914597;6,419201786;0,026915271;29,41176471;;5,197102274;5,182788783
5008008;Terenos;MS;21311;0,118069506;22,34461;715,64434;2,346206185;3,613157524;0,073716095;17,16738197;4;4;3,8
5008305;Tres Lagoas;MS;119465;0,101182041;86,24415;1381,70606;1,423010924;5,633449127;0,054038815;11,85185185;6,614199344;6,733182333;8,43491638
5008404;Vicentina;MS;6067;0,171641791;35,47978;1133,597758;13,18608868;7,252348772;0,018925375;14,08450704;4;5,402650303;5,979560072
5100102;Acorizal;MT;5424;0,180361468;13,61305;664,3177581;5,530973451;7,190265487;0,079211703;32,78688525;;2,5;1,85
5100201;agua Boa;MT;25229;0,08170975;40,21844;864,3366079;3,170954061;3,210590987;0,031756814;12,82051282;4;7,481351641;6,313150731
5100250;Alta Floresta;MT;51615;0,096135382;29,71434;543,6613465;2,906131938;5,095417999;0,053290442;12,31802912;4,394541372;6,040400656;1,85
5100300;Alto Araguaia;MT;18703;0,107607951;46,17725;933,0344838;17,6442282;4,437790729;0,049780035;9,803921569;4;7,316597755;4,533112013
5100359;Alto Boa Vista;MT;6659;0,076009115;16,83742;755,833493;4,505180958;2,853281273;0,062851658;29,7029703;;2,5;1,85
5100409;Alto Garcas;MT;11868;0,113771922;46,42635;927,0077351;2,527805865;3,875968992;0,036941965;6,849315068;;7,065702495;6,247350141
5100508;Alto Paraguai;MT;11238;0,122372723;10,57765;550,6926482;1,779676099;3,559352198;0,071449666;0;;4,926413812;4,460881585
5100607;Alto Taquari;MT;10557;0,050232558;94,5508;1217,018847;2,841716397;2,462820877;0,024737493;5,347593583;;2,5;1,85
5100805;Apiacas;MT;9979;0,080353342;14,62546;775,8581922;3,006313258;2,405050606;0,028496283;8;;6,180821794;4,622166553
5101001;Araguaiana;MT;3119;0,128446319;22,73483;1212,080125;3,206155819;6,091696056;0,043200836;0;;6,617334808;4,004900952
5101209;Araguainha;MT;956;0,174358974;20,99108;2604,28022;10,46025105;3,138075314;0,090867027;0;;6,493700132;1,85
5101258;Araputanga;MT;16690;0,104836699;25,72815;584,9216872;1,198322349;4,67345716;0,070286332;8,130081301;;7,775158308;1,85
5101308;Arenapolis;MT;9714;0,121533862;17,95161;805,2548621;4,11776817;6,691373276;0,048925639;7,194244604;;8,093700132;6,667271021
5101605;Barao de Melgaco;MT;8563;0,139992031;10,76866;562,7387715;2,335630036;3,970571062;0,112438986;0;;2,5;1,85
5101704;Barra do Bugres;MT;34619;0,080536514;38,90089;612,4565863;1,733152315;3,870706837;0,033210796;9,823182711;4;7,276511709;6,220745781
5101803;Barra do Garcas;MT;60661;0,115104711;29,74471;1131,594392;1,978206756;5,868680042;0,050479385;17,14801444;6,505579547;9,439158576;6,321443272
5101852;Bom Jesus do Araguaia;MT;6452;0,083402559;42,85568;834,7102929;6,199628022;2,634841909;0,08392558;10;;2,5;1,85
5101902;Brasnorte;MT;19248;0,066685377;41,26447;982,8622574;1,558603491;3,065253533;0,011990748;3,174603175;;5,508518912;1,85
5102504;Caceres;MT;93882;0,107580813;19,89686;362,296479;1,278200294;6,082103066;0,053975388;16,28468034;4;5,778287574;6,33205557
5102603;Campinapolis;MT;15830;0,073069032;16,55392;763,1060543;2,526847757;4,358812382;0,026598718;29,6803653;;4,511302022;2,88269625
5102637;Campo Novo do Parecis;MT;34558;0,041924592;87,44088;901,9035647;1,736211586;3,096243996;0,027055716;10,43024772;;8,339464708;1,85
5102678;Campo Verde;MT;42871;0,061516188;60,77798;987,2879331;2,332579133;2,799094959;0,02764703;4,819277108;6,634928312;7,503704728;1,85
5102686;Campos de Julio;MT;6710;0,036880585;190,23895;1409,069379;2,980625931;3,576751118;0,042313027;13,98601399;;7,6;5,306483149
5102694;Canabrava do Norte;MT;4761;0,093883661;24,03731;1023,94656;4,200798152;4,830917874;0,062995862;14,08450704;;2,5;1,85
5102702;Canarana;MT;21311;0,085663384;56,10696;1050,502273;2,346206185;3,331612782;0,015178125;23,65591398;;5,89929957;5,347123238
5102793;Carlinda;MT;10413;0,148137425;16,06929;713,9941352;1,920676078;5,377893018;0,056441554;7,8125;;6,411252419;3,05
5102850;Castanheira;MT;8695;0,092887726;16,05125;623,0960253;3,450258769;2,415181139;0,015498464;0;;2,5;1,85
5103007;Chapada dos Guimaraes;MT;19588;0,128402588;36,40706;826,0403058;4,084133143;4,543598121;0,090806166;8,810572687;;7,001201609;1,85
5103056;Claudia;MT;12052;0,086018711;34,92206;734,258767;4,148689014;4,563557916;0,025275909;8,849557522;7,216168596;7,442369752;4,694893234
